"gmina","gmina_nazwa","rok","lud_na_1k"
"3001025","Budzyń - obszar wiejski (5)",2011,NA
"3001025","Budzyń - obszar wiejski (5)",2012,NA
"3001025","Budzyń - obszar wiejski (5)",2013,NA
"3001025","Budzyń - obszar wiejski (5)",2014,NA
"3001025","Budzyń - obszar wiejski (5)",2015,NA
"3001025","Budzyń - obszar wiejski (5)",2016,NA
"3001025","Budzyń - obszar wiejski (5)",2017,NA
"3001025","Budzyń - obszar wiejski (5)",2018,NA
"3001025","Budzyń - obszar wiejski (5)",2019,NA
"3001025","Budzyń - obszar wiejski (5)",2020,NA
"3001025","Budzyń - obszar wiejski (5)",2021,22
"3001025","Budzyń - obszar wiejski (5)",2022,21.7
"3001025","Budzyń - obszar wiejski (5)",2023,21.5
"3001032","Chodzież (2)",2000,NA
"3001032","Chodzież (2)",2001,NA
"3001032","Chodzież (2)",2002,24.7
"3001032","Chodzież (2)",2003,24.9
"3001032","Chodzież (2)",2004,25.1
"3001032","Chodzież (2)",2005,25.4
"3001032","Chodzież (2)",2006,25.3
"3001032","Chodzież (2)",2007,25.7
"3001032","Chodzież (2)",2008,26.3
"3001032","Chodzież (2)",2009,26.4
"3001032","Chodzież (2)",2010,27
"3001032","Chodzież (2)",2011,27.1
"3001032","Chodzież (2)",2012,27.3
"3001032","Chodzież (2)",2013,27.4
"3001032","Chodzież (2)",2014,27.9
"3001032","Chodzież (2)",2015,28
"3001032","Chodzież (2)",2016,28
"3001032","Chodzież (2)",2017,28.3
"3001032","Chodzież (2)",2018,28.5
"3001032","Chodzież (2)",2019,28.6
"3001032","Chodzież (2)",2020,28.4
"3001032","Chodzież (2)",2021,28.4
"3001032","Chodzież (2)",2022,28.5
"3001032","Chodzież (2)",2023,28.9
"3001043","Margonin (3)",2000,NA
"3001043","Margonin (3)",2001,NA
"3001043","Margonin (3)",2002,51
"3001043","Margonin (3)",2003,51.2
"3001043","Margonin (3)",2004,52.1
"3001043","Margonin (3)",2005,52.6
"3001043","Margonin (3)",2006,51.6
"3001043","Margonin (3)",2007,52
"3001043","Margonin (3)",2008,52.3
"3001043","Margonin (3)",2009,52.7
"3001043","Margonin (3)",2010,52.1
"3001043","Margonin (3)",2011,51.9
"3001043","Margonin (3)",2012,51.9
"3001043","Margonin (3)",2013,51.9
"3001043","Margonin (3)",2014,51.8
"3001043","Margonin (3)",2015,52
"3001043","Margonin (3)",2016,51.8
"3001043","Margonin (3)",2017,51.9
"3001043","Margonin (3)",2018,52.5
"3001043","Margonin (3)",2019,52.4
"3001043","Margonin (3)",2020,51.6
"3001043","Margonin (3)",2021,51.4
"3001043","Margonin (3)",2022,51.4
"3001043","Margonin (3)",2023,51.2
"3001044","Margonin - miasto (4)",2000,NA
"3001044","Margonin - miasto (4)",2001,NA
"3001044","Margonin - miasto (4)",2002,571.3
"3001044","Margonin - miasto (4)",2003,569.5
"3001044","Margonin - miasto (4)",2004,571.1
"3001044","Margonin - miasto (4)",2005,573.2
"3001044","Margonin - miasto (4)",2006,566.6
"3001044","Margonin - miasto (4)",2007,572.8
"3001044","Margonin - miasto (4)",2008,575.5
"3001044","Margonin - miasto (4)",2009,578.6
"3001044","Margonin - miasto (4)",2010,587.4
"3001044","Margonin - miasto (4)",2011,585
"3001044","Margonin - miasto (4)",2012,588
"3001044","Margonin - miasto (4)",2013,589.1
"3001044","Margonin - miasto (4)",2014,587.8
"3001044","Margonin - miasto (4)",2015,587.4
"3001044","Margonin - miasto (4)",2016,586
"3001044","Margonin - miasto (4)",2017,584.7
"3001044","Margonin - miasto (4)",2018,586.2
"3001044","Margonin - miasto (4)",2019,579.2
"3001044","Margonin - miasto (4)",2020,586.8
"3001044","Margonin - miasto (4)",2021,583.7
"3001044","Margonin - miasto (4)",2022,580.8
"3001044","Margonin - miasto (4)",2023,576.1
"3001045","Margonin - obszar wiejski (5)",2000,NA
"3001045","Margonin - obszar wiejski (5)",2001,NA
"3001045","Margonin - obszar wiejski (5)",2002,28
"3001045","Margonin - obszar wiejski (5)",2003,28.4
"3001045","Margonin - obszar wiejski (5)",2004,29.2
"3001045","Margonin - obszar wiejski (5)",2005,29.6
"3001045","Margonin - obszar wiejski (5)",2006,29.2
"3001045","Margonin - obszar wiejski (5)",2007,29.2
"3001045","Margonin - obszar wiejski (5)",2008,29.5
"3001045","Margonin - obszar wiejski (5)",2009,29.8
"3001045","Margonin - obszar wiejski (5)",2010,28.8
"3001045","Margonin - obszar wiejski (5)",2011,28.7
"3001045","Margonin - obszar wiejski (5)",2012,28.5
"3001045","Margonin - obszar wiejski (5)",2013,28.4
"3001045","Margonin - obszar wiejski (5)",2014,28.4
"3001045","Margonin - obszar wiejski (5)",2015,28.6
"3001045","Margonin - obszar wiejski (5)",2016,28.5
"3001045","Margonin - obszar wiejski (5)",2017,28.7
"3001045","Margonin - obszar wiejski (5)",2018,29.2
"3001045","Margonin - obszar wiejski (5)",2019,29.4
"3001045","Margonin - obszar wiejski (5)",2020,28.2
"3001045","Margonin - obszar wiejski (5)",2021,28.2
"3001045","Margonin - obszar wiejski (5)",2022,28.3
"3001045","Margonin - obszar wiejski (5)",2023,28.3
"3001053","Szamocin (3)",2000,NA
"3001053","Szamocin (3)",2001,NA
"3001053","Szamocin (3)",2002,57.8
"3001053","Szamocin (3)",2003,57.7
"3001053","Szamocin (3)",2004,57.8
"3001053","Szamocin (3)",2005,58
"3001053","Szamocin (3)",2006,57.6
"3001053","Szamocin (3)",2007,58.1
"3001053","Szamocin (3)",2008,58.1
"3001053","Szamocin (3)",2009,58.1
"3001053","Szamocin (3)",2010,59.3
"3001053","Szamocin (3)",2011,59.5
"3001053","Szamocin (3)",2012,59.5
"3001053","Szamocin (3)",2013,59.5
"3001053","Szamocin (3)",2014,59.4
"3001053","Szamocin (3)",2015,59.4
"3001053","Szamocin (3)",2016,59.6
"3001053","Szamocin (3)",2017,59.6
"3001053","Szamocin (3)",2018,59.1
"3001053","Szamocin (3)",2019,59
"3001053","Szamocin (3)",2020,57.3
"3001053","Szamocin (3)",2021,56.9
"3001053","Szamocin (3)",2022,56.4
"3001053","Szamocin (3)",2023,56.2
"3001054","Szamocin - miasto (4)",2000,NA
"3001054","Szamocin - miasto (4)",2001,NA
"3001054","Szamocin - miasto (4)",2002,909.4
"3001054","Szamocin - miasto (4)",2003,907.3
"3001054","Szamocin - miasto (4)",2004,904.7
"3001054","Szamocin - miasto (4)",2005,912.4
"3001054","Szamocin - miasto (4)",2006,916.1
"3001054","Szamocin - miasto (4)",2007,921.2
"3001054","Szamocin - miasto (4)",2008,915.8
"3001054","Szamocin - miasto (4)",2009,911.8
"3001054","Szamocin - miasto (4)",2010,931.5
"3001054","Szamocin - miasto (4)",2011,931.9
"3001054","Szamocin - miasto (4)",2012,927.2
"3001054","Szamocin - miasto (4)",2013,930
"3001054","Szamocin - miasto (4)",2014,928.7
"3001054","Szamocin - miasto (4)",2015,925.9
"3001054","Szamocin - miasto (4)",2016,923.3
"3001054","Szamocin - miasto (4)",2017,921.2
"3001054","Szamocin - miasto (4)",2018,904.1
"3001054","Szamocin - miasto (4)",2019,897.6
"3001054","Szamocin - miasto (4)",2020,858.7
"3001054","Szamocin - miasto (4)",2021,846.7
"3001054","Szamocin - miasto (4)",2022,835.8
"3001054","Szamocin - miasto (4)",2023,835.1
"3001055","Szamocin - obszar wiejski (5)",2000,NA
"3001055","Szamocin - obszar wiejski (5)",2001,NA
"3001055","Szamocin - obszar wiejski (5)",2002,24.9
"3001055","Szamocin - obszar wiejski (5)",2003,24.9
"3001055","Szamocin - obszar wiejski (5)",2004,25
"3001055","Szamocin - obszar wiejski (5)",2005,24.9
"3001055","Szamocin - obszar wiejski (5)",2006,24.8
"3001055","Szamocin - obszar wiejski (5)",2007,25.2
"3001055","Szamocin - obszar wiejski (5)",2008,25.4
"3001055","Szamocin - obszar wiejski (5)",2009,25.6
"3001055","Szamocin - obszar wiejski (5)",2010,26
"3001055","Szamocin - obszar wiejski (5)",2011,26.2
"3001055","Szamocin - obszar wiejski (5)",2012,26.4
"3001055","Szamocin - obszar wiejski (5)",2013,26.3
"3001055","Szamocin - obszar wiejski (5)",2014,26.3
"3001055","Szamocin - obszar wiejski (5)",2015,26.4
"3001055","Szamocin - obszar wiejski (5)",2016,26.6
"3001055","Szamocin - obszar wiejski (5)",2017,26.8
"3001055","Szamocin - obszar wiejski (5)",2018,26.8
"3001055","Szamocin - obszar wiejski (5)",2019,27
"3001055","Szamocin - obszar wiejski (5)",2020,26.8
"3001055","Szamocin - obszar wiejski (5)",2021,26.8
"3001055","Szamocin - obszar wiejski (5)",2022,26.7
"3001055","Szamocin - obszar wiejski (5)",2023,26.5
"3002011","Czarnków (1)",2000,NA
"3002011","Czarnków (1)",2001,NA
"3002011","Czarnków (1)",2002,1197.3
"3002011","Czarnków (1)",2003,1188.8
"3002011","Czarnków (1)",2004,1181.9
"3002011","Czarnków (1)",2005,1179.1
"3002011","Czarnków (1)",2006,1169.7
"3002011","Czarnków (1)",2007,1168.7
"3002011","Czarnków (1)",2008,1123.8
"3002011","Czarnków (1)",2009,1118.1
"3002011","Czarnków (1)",2010,1151.1
"3002011","Czarnków (1)",2011,1136
"3002011","Czarnków (1)",2012,1126
"3002011","Czarnków (1)",2013,1121.1
"3002011","Czarnków (1)",2014,1109.5
"3002011","Czarnków (1)",2015,1098.5
"3002011","Czarnków (1)",2016,1085.3
"3002011","Czarnków (1)",2017,1060.4
"3002011","Czarnków (1)",2018,1055.6
"3002011","Czarnków (1)",2019,1043
"3002011","Czarnków (1)",2020,1022.7
"3002011","Czarnków (1)",2021,1004.7
"3002011","Czarnków (1)",2022,990.9
"3002011","Czarnków (1)",2023,973.1
"3002022","Czarnków (2)",2000,NA
"3002022","Czarnków (2)",2001,NA
"3002022","Czarnków (2)",2002,30.9
"3002022","Czarnków (2)",2003,30.9
"3002022","Czarnków (2)",2004,31
"3002022","Czarnków (2)",2005,31.3
"3002022","Czarnków (2)",2006,31.6
"3002022","Czarnków (2)",2007,31.9
"3002022","Czarnków (2)",2008,32
"3002022","Czarnków (2)",2009,32.3
"3002022","Czarnków (2)",2010,32
"3002022","Czarnków (2)",2011,32.2
"3002022","Czarnków (2)",2012,32.5
"3002022","Czarnków (2)",2013,32.6
"3002022","Czarnków (2)",2014,32.8
"3002022","Czarnków (2)",2015,32.9
"3002022","Czarnków (2)",2016,33
"3002022","Czarnków (2)",2017,33
"3002022","Czarnków (2)",2018,33
"3002022","Czarnków (2)",2019,33
"3002022","Czarnków (2)",2020,32.3
"3002022","Czarnków (2)",2021,32.2
"3002022","Czarnków (2)",2022,32.1
"3002022","Czarnków (2)",2023,32.2
"3002032","Drawsko (2)",2000,NA
"3002032","Drawsko (2)",2001,NA
"3002032","Drawsko (2)",2002,36.2
"3002032","Drawsko (2)",2003,36.5
"3002032","Drawsko (2)",2004,36.5
"3002032","Drawsko (2)",2005,36.3
"3002032","Drawsko (2)",2006,36.3
"3002032","Drawsko (2)",2007,36.3
"3002032","Drawsko (2)",2008,36.2
"3002032","Drawsko (2)",2009,36.5
"3002032","Drawsko (2)",2010,37
"3002032","Drawsko (2)",2011,36.9
"3002032","Drawsko (2)",2012,36.7
"3002032","Drawsko (2)",2013,36.6
"3002032","Drawsko (2)",2014,36.6
"3002032","Drawsko (2)",2015,36.4
"3002032","Drawsko (2)",2016,36.1
"3002032","Drawsko (2)",2017,36
"3002032","Drawsko (2)",2018,35.8
"3002032","Drawsko (2)",2019,35.4
"3002032","Drawsko (2)",2020,35.1
"3002032","Drawsko (2)",2021,34.5
"3002032","Drawsko (2)",2022,34.4
"3002032","Drawsko (2)",2023,34.1
"3002043","Krzyż Wielkopolski (3)",2000,NA
"3002043","Krzyż Wielkopolski (3)",2001,NA
"3002043","Krzyż Wielkopolski (3)",2002,50.4
"3002043","Krzyż Wielkopolski (3)",2003,50.2
"3002043","Krzyż Wielkopolski (3)",2004,50.5
"3002043","Krzyż Wielkopolski (3)",2005,50.3
"3002043","Krzyż Wielkopolski (3)",2006,50.5
"3002043","Krzyż Wielkopolski (3)",2007,50.8
"3002043","Krzyż Wielkopolski (3)",2008,50.9
"3002043","Krzyż Wielkopolski (3)",2009,50.8
"3002043","Krzyż Wielkopolski (3)",2010,50.6
"3002043","Krzyż Wielkopolski (3)",2011,50.5
"3002043","Krzyż Wielkopolski (3)",2012,50.3
"3002043","Krzyż Wielkopolski (3)",2013,50.4
"3002043","Krzyż Wielkopolski (3)",2014,50.3
"3002043","Krzyż Wielkopolski (3)",2015,50.4
"3002043","Krzyż Wielkopolski (3)",2016,50.4
"3002043","Krzyż Wielkopolski (3)",2017,50.2
"3002043","Krzyż Wielkopolski (3)",2018,50.2
"3002043","Krzyż Wielkopolski (3)",2019,49.9
"3002043","Krzyż Wielkopolski (3)",2020,48.5
"3002043","Krzyż Wielkopolski (3)",2021,48.1
"3002043","Krzyż Wielkopolski (3)",2022,47.7
"3002043","Krzyż Wielkopolski (3)",2023,47.3
"3002044","Krzyż Wielkopolski - miasto (4)",2000,NA
"3002044","Krzyż Wielkopolski - miasto (4)",2001,NA
"3002044","Krzyż Wielkopolski - miasto (4)",2002,1082.2
"3002044","Krzyż Wielkopolski - miasto (4)",2003,1076
"3002044","Krzyż Wielkopolski - miasto (4)",2004,1083.5
"3002044","Krzyż Wielkopolski - miasto (4)",2005,1075.8
"3002044","Krzyż Wielkopolski - miasto (4)",2006,1080.7
"3002044","Krzyż Wielkopolski - miasto (4)",2007,1087.6
"3002044","Krzyż Wielkopolski - miasto (4)",2008,1094
"3002044","Krzyż Wielkopolski - miasto (4)",2009,1084.3
"3002044","Krzyż Wielkopolski - miasto (4)",2010,1076.2
"3002044","Krzyż Wielkopolski - miasto (4)",2011,1069.4
"3002044","Krzyż Wielkopolski - miasto (4)",2012,1063.7
"3002044","Krzyż Wielkopolski - miasto (4)",2013,1068.7
"3002044","Krzyż Wielkopolski - miasto (4)",2014,1062.1
"3002044","Krzyż Wielkopolski - miasto (4)",2015,1066.3
"3002044","Krzyż Wielkopolski - miasto (4)",2016,1073.7
"3002044","Krzyż Wielkopolski - miasto (4)",2017,1070.9
"3002044","Krzyż Wielkopolski - miasto (4)",2018,1069.9
"3002044","Krzyż Wielkopolski - miasto (4)",2019,1063
"3002044","Krzyż Wielkopolski - miasto (4)",2020,1041.3
"3002044","Krzyż Wielkopolski - miasto (4)",2021,1028.1
"3002044","Krzyż Wielkopolski - miasto (4)",2022,1019.4
"3002044","Krzyż Wielkopolski - miasto (4)",2023,1008.9
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2000,NA
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2001,NA
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2002,14.8
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2003,14.8
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2004,14.8
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2005,14.9
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2006,15
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2007,15
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2008,14.9
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2009,15.2
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2010,15.3
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2011,15.4
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2012,15.4
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2013,15.3
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2014,15.4
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2015,15.3
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2016,15.1
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2017,15
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2018,15
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2019,14.9
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2020,14.3
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2021,14.3
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2022,14.1
"3002045","Krzyż Wielkopolski - obszar wiejski (5)",2023,14
"3002052","Lubasz (2)",2000,NA
"3002052","Lubasz (2)",2001,NA
"3002052","Lubasz (2)",2002,40.1
"3002052","Lubasz (2)",2003,40.6
"3002052","Lubasz (2)",2004,40.9
"3002052","Lubasz (2)",2005,41.6
"3002052","Lubasz (2)",2006,41.6
"3002052","Lubasz (2)",2007,42
"3002052","Lubasz (2)",2008,42.8
"3002052","Lubasz (2)",2009,43.3
"3002052","Lubasz (2)",2010,43.8
"3002052","Lubasz (2)",2011,44.2
"3002052","Lubasz (2)",2012,44.3
"3002052","Lubasz (2)",2013,44.6
"3002052","Lubasz (2)",2014,45
"3002052","Lubasz (2)",2015,45.3
"3002052","Lubasz (2)",2016,46.2
"3002052","Lubasz (2)",2017,46
"3002052","Lubasz (2)",2018,46.2
"3002052","Lubasz (2)",2019,46
"3002052","Lubasz (2)",2020,45.3
"3002052","Lubasz (2)",2021,45.2
"3002052","Lubasz (2)",2022,44.9
"3002052","Lubasz (2)",2023,45
"3002062","Połajewo (2)",2000,NA
"3002062","Połajewo (2)",2001,NA
"3002062","Połajewo (2)",2002,43
"3002062","Połajewo (2)",2003,43.2
"3002062","Połajewo (2)",2004,43.1
"3002062","Połajewo (2)",2005,43.1
"3002062","Połajewo (2)",2006,43.4
"3002062","Połajewo (2)",2007,43.3
"3002062","Połajewo (2)",2008,43.4
"3002062","Połajewo (2)",2009,43.5
"3002062","Połajewo (2)",2010,44.2
"3002062","Połajewo (2)",2011,44
"3002062","Połajewo (2)",2012,43.9
"3002062","Połajewo (2)",2013,44
"3002062","Połajewo (2)",2014,43.9
"3002062","Połajewo (2)",2015,43.7
"3002062","Połajewo (2)",2016,43.9
"3002062","Połajewo (2)",2017,43.7
"3002062","Połajewo (2)",2018,43.8
"3002062","Połajewo (2)",2019,43.6
"3002062","Połajewo (2)",2020,43
"3002062","Połajewo (2)",2021,42.8
"3002062","Połajewo (2)",2022,42.5
"3002062","Połajewo (2)",2023,42.1
"3002073","Trzcianka (3)",2000,NA
"3002073","Trzcianka (3)",2001,NA
"3002073","Trzcianka (3)",2002,62.3
"3002073","Trzcianka (3)",2003,62.4
"3002073","Trzcianka (3)",2004,62.5
"3002073","Trzcianka (3)",2005,62.5
"3002073","Trzcianka (3)",2006,62.8
"3002073","Trzcianka (3)",2007,63.1
"3002073","Trzcianka (3)",2008,63.3
"3002073","Trzcianka (3)",2009,63.6
"3002073","Trzcianka (3)",2010,65.5
"3002073","Trzcianka (3)",2011,65.4
"3002073","Trzcianka (3)",2012,65.5
"3002073","Trzcianka (3)",2013,65.3
"3002073","Trzcianka (3)",2014,65.4
"3002073","Trzcianka (3)",2015,65.2
"3002073","Trzcianka (3)",2016,65.2
"3002073","Trzcianka (3)",2017,65.1
"3002073","Trzcianka (3)",2018,65.1
"3002073","Trzcianka (3)",2019,65
"3002073","Trzcianka (3)",2020,63.8
"3002073","Trzcianka (3)",2021,63.4
"3002073","Trzcianka (3)",2022,62.8
"3002073","Trzcianka (3)",2023,62.5
"3002074","Trzcianka - miasto (4)",2000,NA
"3002074","Trzcianka - miasto (4)",2001,NA
"3002074","Trzcianka - miasto (4)",2002,915.4
"3002074","Trzcianka - miasto (4)",2003,919.1
"3002074","Trzcianka - miasto (4)",2004,919.2
"3002074","Trzcianka - miasto (4)",2005,917.8
"3002074","Trzcianka - miasto (4)",2006,915.2
"3002074","Trzcianka - miasto (4)",2007,919.1
"3002074","Trzcianka - miasto (4)",2008,921.5
"3002074","Trzcianka - miasto (4)",2009,923.7
"3002074","Trzcianka - miasto (4)",2010,952.6
"3002074","Trzcianka - miasto (4)",2011,950.8
"3002074","Trzcianka - miasto (4)",2012,949.8
"3002074","Trzcianka - miasto (4)",2013,945.4
"3002074","Trzcianka - miasto (4)",2014,946.6
"3002074","Trzcianka - miasto (4)",2015,943.6
"3002074","Trzcianka - miasto (4)",2016,941.4
"3002074","Trzcianka - miasto (4)",2017,941.4
"3002074","Trzcianka - miasto (4)",2018,939.7
"3002074","Trzcianka - miasto (4)",2019,936.6
"3002074","Trzcianka - miasto (4)",2020,921.1
"3002074","Trzcianka - miasto (4)",2021,912.5
"3002074","Trzcianka - miasto (4)",2022,902.4
"3002074","Trzcianka - miasto (4)",2023,897.4
"3002075","Trzcianka - obszar wiejski (5)",2000,NA
"3002075","Trzcianka - obszar wiejski (5)",2001,NA
"3002075","Trzcianka - obszar wiejski (5)",2002,18.7
"3002075","Trzcianka - obszar wiejski (5)",2003,18.6
"3002075","Trzcianka - obszar wiejski (5)",2004,18.7
"3002075","Trzcianka - obszar wiejski (5)",2005,18.8
"3002075","Trzcianka - obszar wiejski (5)",2006,18.9
"3002075","Trzcianka - obszar wiejski (5)",2007,19.1
"3002075","Trzcianka - obszar wiejski (5)",2008,19.1
"3002075","Trzcianka - obszar wiejski (5)",2009,19.3
"3002075","Trzcianka - obszar wiejski (5)",2010,19.8
"3002075","Trzcianka - obszar wiejski (5)",2011,19.9
"3002075","Trzcianka - obszar wiejski (5)",2012,20
"3002075","Trzcianka - obszar wiejski (5)",2013,20
"3002075","Trzcianka - obszar wiejski (5)",2014,20.1
"3002075","Trzcianka - obszar wiejski (5)",2015,20
"3002075","Trzcianka - obszar wiejski (5)",2016,20.1
"3002075","Trzcianka - obszar wiejski (5)",2017,20.1
"3002075","Trzcianka - obszar wiejski (5)",2018,20.1
"3002075","Trzcianka - obszar wiejski (5)",2019,20.2
"3002075","Trzcianka - obszar wiejski (5)",2020,19.7
"3002075","Trzcianka - obszar wiejski (5)",2021,19.7
"3002075","Trzcianka - obszar wiejski (5)",2022,19.7
"3002075","Trzcianka - obszar wiejski (5)",2023,19.6
"3002083","Wieleń (3)",2000,NA
"3002083","Wieleń (3)",2001,NA
"3002083","Wieleń (3)",2002,29.8
"3002083","Wieleń (3)",2003,29.6
"3002083","Wieleń (3)",2004,29.6
"3002083","Wieleń (3)",2005,29.4
"3002083","Wieleń (3)",2006,29.2
"3002083","Wieleń (3)",2007,29.2
"3002083","Wieleń (3)",2008,29.4
"3002083","Wieleń (3)",2009,29.2
"3002083","Wieleń (3)",2010,29.8
"3002083","Wieleń (3)",2011,29.6
"3002083","Wieleń (3)",2012,29.6
"3002083","Wieleń (3)",2013,29.5
"3002083","Wieleń (3)",2014,29.4
"3002083","Wieleń (3)",2015,29.3
"3002083","Wieleń (3)",2016,29.3
"3002083","Wieleń (3)",2017,29.1
"3002083","Wieleń (3)",2018,28.8
"3002083","Wieleń (3)",2019,28.6
"3002083","Wieleń (3)",2020,28.1
"3002083","Wieleń (3)",2021,27.7
"3002083","Wieleń (3)",2022,27.4
"3002083","Wieleń (3)",2023,27.1
"3002084","Wieleń - miasto (4)",2000,NA
"3002084","Wieleń - miasto (4)",2001,NA
